ID,TIPO,INSTITUCIO,CALLE,NUMERO,REFERENCIA,COLONIA,C_P_,Observacio,Alcaldía,geometry
807.0,CENTRO YPLAZA COMERCIAL,Plaza de las Estrellas,Leona Vicario,S/N,casi esquina con república de Venezuela,Centro,06000,,Cuauhtémoc,POINT (486741.0245000003 2149194.5141000003)
808.0,CENTRO Y PLAZA COMERCIAL,Pasaje Comercial Moneda,Moneda,19,,Centro,06000,,Cuauhtémoc,POINT (486408.83609999996 2148759.415100001)
809.0,CENTRO Y PLAZA COMERCIAL,Plaza comercial MG,Correo Mayor,20,,Centro,06000,,Cuauhtémoc,POINT (486369.49069999997 2148729.5009000003)
810.0,CENTRO Y PLAZA COMERCIAL,Plaza Charly,Aztecas,S/N,Entre Nicaragua y Peña y Peña,Centro,06000,,Cuauhtémoc,POINT (486501.60360000003 2149680.0978999995)
811.0,CENTRO Y PLAZA COMERCIAL,Plaza Centro Histórico,República de Brasil,8,,Centro,06000,,Cuauhtémoc,POINT (485963.8103 2149036.922700001)
812.0,CENTRO Y PLAZA COMERCIAL,Plaza Bialos,Donceles,87,,Centro,06000,,Cuauhtémoc,POINT (485965.7714999998 2149058.6921999995)
813.0,CENTRO Y PLAZA COMERCIAL,Pasaje Capital,José María Pino Suárez,59,,Centro,06090,,Cuauhtémoc,POINT (486018.9451000001 2148088.4036999997)
814.0,CENTRO Y PLAZA COMERCIAL,Plaza Suprema,José María Pino Suárez,64,,Centro,06000,,Cuauhtémoc,POINT (486069.39740000013 2148092.816400001)
815.0,CENTRO Y PLAZA COMERCIAL,Parque Centro,José María Pino Suárez,60,,Centro,06090,,Cuauhtémoc,POINT (486069.54449999984 2148066.193)
816.0,CENTRO Y PLAZA COMERCIAL,Plaza Brasil,República de Brasil,19,,Centro,06010,,Cuauhtémoc,POINT (485971.55649999995 2149106.9585999995)
817.0,CENTO Y PLAZA COMERCIAL,León de Juda,La Academia,41,,Centro,06000,,Cuauhtémoc,POINT (486460.43099999987 2148606.5645000003)
818.0,CENTRO Y PLAZA COMERCIAL,Pabellón Pino Suárez,José María Izazaga,118,,Centro,06090,,Cuauhtémoc,POINT (486118.8269999996 2147911.2675)
819.0,CENTRO Y PLAZA COMERCIAL,Centro Comercial Colombia 22,República de Colombia,22,,Centro,06000,,Cuauhtémoc,POINT (486132.13910000026 2149358.6468)
