ID,TIPO,INSTITUCIO,CALLE,NUMERO,REFERENCIA,COLONIA,C_P_,Observacio,Alcaldía,geometry
76.0,TIENDAS DE AUTOSERVICIO_1,Zorro Abarrotero,Alta Tension,88,,Molino de Rosas,01470,,Álvaro Obregón,POINT (478578.35950000025 2141977.1078999992)
77.0,Centro y Plaza Comercial,Pasaje Santa Fe,,,,,,,Álvaro Obregón,POINT (472364.6270000003 2141435.7345000003)
78.0,TIENDA DE AUTOSERVICIO_1,WALMART EXPRESS,,,,,,,Álvaro Obregón,POINT (473922.98780000024 2138693.9256999996)
79.0,CENTRO Y PLAZA COMERCIAL,PLAZA LA ALCANTARILLA,,,,,,,Álvaro Obregón,POINT (474664.1983000003 2138385.0615)
80.0,CENTRO Y PLAZA COMERCIAL,Plaza Olivar de los Padres,AV TOLUCA,730,,,01780,,Álvaro Obregón,POINT (475160.9974999996 2138158.5184000004)
81.0,TIENDAS DE AUTOSERVICIO_1,Bodega Aurrera Express,,,,,,,Álvaro Obregón,POINT (478007.0639000004 2142201.4340000004)
82.0,TIENDAS DEPARTAMENTALES_1,Elektra,,,,,,,Álvaro Obregón,POINT (477840.82600000035 2143973.4152000006)
83.0,TIENDAS DE AUTOSERVICIO_1,,,,,,,,Álvaro Obregón,POINT (477822.38800000027 2136060.833900001)
84.0,CENTRO Y PLAZA COMERCIAL,Pedregal,,,,,,,Álvaro Obregón,POINT (477798.72580000013 2136036.045)
85.0,CENTRO COMERCIAL,CONDOMINOS DEL  LUIS CABRERA AC.,Contreras,386,Esq. Periférico,Sn. Jerónimo Aculco,10400,,Magdalena Contreras,POINT (476734.3744999999 2136371.490700001)
86.0,CENTRO Y PLAZA COMERCIAL,,San Jeronimo,132,,San Jeronimo Lidice,10200,,Magdalena Contreras,POINT (476587.76860000007 2136626.7975999992)
87.0,CENTRO Y PLAZA COMERCIAL,Operadora de Negocios CCV,Alvaro Obregon,1415,,La Cruz,10800,,Magdalena Contreras,POINT (475255.5371000003 2134641.0911999997)
88.0,CENTRO Y PLAZA COMERCIAL,,Alvaro Obregon,7,,,10300,,Magdalena Contreras,POINT (473017.0734000001 2135536.8246999998)
89.0,CENTRO Y PLAZA COMERCIAL,,Blvd. Adolfo Lopez Mateos,38,,,,,Magdalena Contreras,POINT (477655.51219999976 2137145.0493)
90.0,CENTRO Y PLAZA COMERCIAL,Pasaje San Jeronimo,San Jeronimo,819,,Puente Sierra,10110,,Magdalena Contreras,POINT (477322.03839999996 2137343.8204999994)
91.0,CENTRO Y PLAZA COMERCIAL,Vips San Jeronimo,AV CONTRERAS,32,ESQ AV SAN JERONIMO,,10200,,Magdalena Contreras,POINT (477761.4632000001 2137368.2707)
92.0,CENTRO Y PLAZA COMERCIAL,Plaza Altamira,San Bernabe,327,,,10200,,Magdalena Contreras,POINT (477091.1196999997 2137820.373400001)
93.0,CENTRO Y PLAZA COMERCIAL,PLAZA LA CRUZ,Av Mexico,1385,,La Cruz,10800,,Magdalena Contreras,POINT (475413.61199999973 2134721.8056000005)
94.0,TIENDAS DE AUTOSERVICIO_1,,AV. SAN BERNABE,998,,,10010,,Magdalena Contreras,POINT (474802.01549999975 2136395.569599999)
95.0,CENTRO Y PLAZA COMERCIAL,PLAZA MAGDALENA,PRESA,254 local A,,,10100,,Magdalena Contreras,POINT (477037.7982999999 2137180.8934000004)
96.0,TIENDAS DE AUTO SERVICIO,ISSSTETIENDAS,Calz. México-Xochimilco,5713,Entre Antiguo Camino a Xochimilco y El Sauz,La Noria,16030,NO ES TIENDA DE AUTOSERVICIO,Xochimilco,POINT (486939.1827999996 2130192.1641000006)
97.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Guadalupe Ramírez,318,Esq. Prol. División del Norte,Tepepan Sn. Marcos,16020,,Xochimilco,POINT (487963.84640000015 2130217.7465000004)
98.0,TIENDAS DE AUTO SERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Av. Prol. Div. del Norte,5333,Esq. Av. Guadalupe I. Ramírez,Potreros de Sn. Bernandino,16030,,Xochimilco,POINT (487722.18850000016 2130401.9703)
99.0,TIENDAS DE AUTO SERVICIO,"BODEGA COMERCIAL MEXICANA, S.A. DE C.V.",Calle Pino,66,Esq. Calle Hidalgo,Barrio la Guadalupita,16070,,Xochimilco,POINT (489202.58380000014 2130062.3342000004)
100.0,CENTRO COMERCIAL,CORPORACION XOCHIMILCO S.A. DE C.V.,Redención 150,104,,Residencial Xochimilco,16200,,Xochimilco,POINT (487982.65299999993 2128911.4364)
101.0,CENTRO Y PLAZA COMERCIAL,PLAZA VICARO,AV. SAN PEDRO ATOCPAN,196,,SAN GREGORIO ATLAPULCO,16600,,Xochimilco,POINT (493912.86670000013 2128432.3529000003)
102.0,CENTRO Y PLAZA COMERCIAL,PLAZA MANANTIALES,CAMINO A NATIVITAS,35,,XALTOCAN,16090,,Xochimilco,POINT (489175.34250000026 2128952.6327)
103.0,CENTRO Y PLAZA COMERCIAL,PLAZA S/N,AQUILES SERDAN,45,,SANTIAGO TEPALTLALPAN,16200,PLAZA LOCAL,Xochimilco,POINT (487090.46690000035 2128236.3423999995)
104.0,CENTRO Y PLAZA COMERCIAL,PLAZA CUAUHTÉMOC,AV. CUAUHTÉMOC,48,,SAN PEDRO,16090,PLAZA LOCAL,Xochimilco,POINT (488771.64940000046 2129534.6269000005)
105.0,TIENDAS DEPARTAMENTALES_1,ELEKTRA,AV. MORELOS,90,,LOS MORELES,16060,,Xochimilco,POINT (488968.06240000017 2129604.3911000006)
106.0,CENTRO Y PLAZA COMERCIAL,PLAZA LOS ANGELES,VIOLETA,65,,SANTA CRUCITA,16070,PLAZA LOCAL,Xochimilco,POINT (489328.5553000001 2129689.9864000008)
107.0,CENTRO Y PLAZA COMERCIAL,PLAZA NUEVO LEÓN,AV. NUEVO LEÓN,19,,SANTA CRUCITA,16070,PLAZA LOCAL,Xochimilco,POINT (489227.9338999996 2129834.3444999997)
108.0,TIENDAS DE AUTOSERVICIO_1,CHEDRAUI,CAMINO A SANTIAGO TEPALCATLALPAN,400,,SANTIAGO TEPALCATLALPAN,16210,,Xochimilco,POINT (487122.12909999955 2129301.9902)
109.0,CENTRO Y PLAZA COMERCIAL,PLAZA TEPEPAN,AV. GUADALUPE I RAMÍREZ,741,,SANTA MARÍA TEPEPAN,16020,PLAZA LOCAL,Xochimilco,POINT (486342.2461000001 2130824.1909)
110.0,TIENDAS DE AUTOSERVICIO_1,BODEGA AURRERA EXPRES,AV. PROL. DIVISIÓN DEL NORTE,4942,,SAN LORENZO LA SEBADA,16001,,Xochimilco,POINT (487037.6070999997 2131839.9305000007)
111.0,CENTRO Y PLAZA COMERCIAL,PLAZA VAQUERITOS,AV. PROL. DIVISIÓN DEL NORTE,4901,,SAN LORENZO LA SEBADA,16035,,Xochimilco,POINT (486883.05260000005 2132030.7086999994)
112.0,CENTRO Y PLAZA COMERCIAL,PLAZAS ARENAL,ARENAL,651,,SANTA MARIA TEPEPAN,16020,,Xochimilco,POINT (485596.7084999997 2131783.1799999997)
113.0,CENTRO Y PLAZA COMERCIAL,PLAZA ARENAL,ARENAL,842,,SANTA MARÍA TEPEPAN,16020,,Xochimilco,POINT (485453.42360000033 2131880.1789999995)
114.0,TIENDAS DE AUTOSERVICIO_1,CHEDRAUI,AV. AQUILES SERDAN,360,,EL MIRADOR,16740,,Xochimilco,POINT (497671.07639999967 2129347.7393999994)
115.0,TIENDAS DEPARTAMENTALES_1,ELEKTRA,JOSÉ MARÍA MORELOS,85,,TENANTITLA,12100,,Milpa Alta,POINT (500630.1507000001 2124962.8596)
116.0,CENTRO Y PLAZA COMERCIAL,PLAZA S/N,GUADALUPE VICTORIA SUR,27,,TENANTITLA,12100,PLAZA LOCAL,Milpa Alta,POINT (500544.22009999957 2124913.3539000005)
117.0,TIENDAS DEPARTAMENTALES,VIANA,Av. Tláhuac,6020,Esq. Manuel M. López,Lomas de Sn. Lorenzo,09780,NO ES TIENDA DEPARTEMENTAL,Tlahuac,POINT (495148.8025000002 2133984.3783)
118.0,TIENDAS DEPARTAMENTALES_1,ELEKTRA,CALZ. TLAHUAC TULYEHUALCO,4925,,SAN ISIDRO,13093,,Tlahuac,POINT (498912.4539000001 2129471.2130999994)
119.0,TIENDAS DEPARTAMENTALES_1,COPPEL,CALZ. TLAHUAC TULYEHUALCO,4901,,SAN ISIDRO,13094,,Tlahuac,POINT (498966.8340999996 2129614.080499999)
120.0,TIENDAS DE AUTOSERVICIO_1,BODEGA AURRERA EXPRES,CALZ. TLAHUAC TULYEHUALCO,S/N,,LOS REYES,13080,,Tlahuac,POINT (499012.8666000003 2129651.5265999995)
121.0,TIENDAS DEPARTAMENTALES_1,ELEKTRA,AV. TLAHUAC,17,,LOS REYES,13080,,Tlahuac,POINT (499392.93230000045 2130486.192399999)
122.0,TIENDAS DE AUTOSERVICIO_1,BODEGA AURRERA EXPRES,MONTES CÁRPATOS,355,,AMPLEACIÓN SELENE,13420,,Tlahuac,POINT (499395.0789000001 2133484.978700001)
123.0,CENTRO Y PLAZA COMERCIAL,PLAZA ZAPOTITLAN DT,AV TLÁHUAC,5856,,SANTA ANA PONIENTE,13300,,Tlahuac,POINT (495599.4305999996 2133996.8212)
124.0,TIENDAS DEPARTAMENTALES_1,ELEKTRA,AV. TLÁHUAC,5824,,SANTA ANA PONIENTE,13300,,Tlahuac,POINT (495463.2413999997 2134009.9988)
125.0,TIENDAS DEPARTAMENTALES_1,ELEKTRA,AV. TLÁHUAC,5988,,LOS OLIVOS,13210,,Tlahuac,POINT (494167.2377000004 2134374.024700001)
126.0,TIENDAS DEPARTAMENTALES_1,COPPEL,AV. TLÁHUAC,5504,,LOS OLIVOS,13210,,Tlahuac,POINT (494204.0873999996 2134362.2184999995)
127.0,CENTRO Y PLAZA COMERCIAL,PLAZA TLÁHUAC,AV. TLÁHUAC,5295,,LOS OLIVOS,13210,,Tlahuac,POINT (493520.57739999983 2134562.5669)
128.0,TIENDAS DEPARTAMENTALES_1,COPPEL,RAFAEL CASTILLO,24,,LA HABANA,13050,,Tlahuac,POINT (500109.3343000002 2130367.6380000003)
129.0,TIENDAS DEPARTAMENTALES_1,BODEGA AURRERA EXPRES,CALZ. TLÁHUAC CHALCO,S/N,,LA HABANA,13070,,Tlahuac,POINT (500143.1431 2130262.1867999993)
130.0,TIENDAS DE AUTO SERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Perpetua,35,Esq. Insurgentes,Sn. José Insurgentes,03900,,Benito Juárez,POINT (480874.3894999996 2141363.9672)
131.0,TIENDAS DE AUTO SERVICIO,ISSSTETIENDAS,Dr. Vertiz,543,Esq. Obrero Mundial,Narvarte,03020,,Benito Juárez,POINT (484146.3679999998 2145249.052100001)
132.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Xola,1856,,Narvarte,03020,,Benito Juárez,POINT (484552.7734000003 2144593.082699999)
133.0,TIENDAS DE AUTO SERVICIO,"WOOLWORTH MEXICANA, S.A. DE C.V.",Av. Cuauhtémoc,607,Esq. Xola,Narvarte,03020,,Benito Juárez,POINT (483542.0303999996 2144689.3532999996)
134.0,PLAZAS COMERCIALES,,Av. Universidad,1000,Esq. Parroquia,Sta. Cruz Atoyac,03100,,Benito Juárez,POINT (482576.1618999997 2141531.2239999995)
135.0,CENTRO COMERCIAL,,Av. Insurgentes Sur,1320,Entre Recreo y Parroquia,Del Valle,03100,,Benito Juárez,POINT (481220.64279999956 2142083.1818000004)
136.0,TIENDAS DE AUTO SERVICIO,Super  G,Av. Eugenia,901,Esq. Gabriel Mancera,Del Valle,03100,,Benito Juárez,POINT (482783.0685999999 2143550.8840999994)
137.0,TIENDAS DE AUTO SERVICIO,"UNIDAD COMERCIAL DE TODO, S.A.",Av. Félix  Cuevas,1621,Esq. Sn. Fracisco,Del Valle,03100,,Benito Juárez,POINT (481507.3295999998 2142081.2282)
138.0,TIENDAS DE AUTO SERVICIO,"ALMACENES AURRERA,S.A. DE C.V.",Heriberto Frias,1102,Esq. Diagonal San Antonio,Del Valle,03100,,Benito Juárez,POINT (483243.1070999997 2144471.3082)
139.0,TIENDAS DE AUTO SERVICIO,ISSSTETIENDAS,Av. Coyoacán,521,Entre Torres Adalid y Av. del Valle,Del Valle,03100,,Benito Juárez,POINT (482507.15780000016 2144032.8202)
140.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Adolfo Prieto,202,Esq. Xola,Del Valle,03100,,Benito Juárez,POINT (482569.2622999996 2144739.0590000004)
141.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Insurgentes Sur,1266,Esq. Félix Cuevas,Actipan,03230,,Benito Juárez,POINT (481282.29949999973 2142300.1086)
142.0,TIENDAS DE AUTO SERVICIO,"WOOLWORTH MEXICANA, S.A. DE C.V.",Insurgentes Sur,1288,Entre Félix Cuevas y Durazno,Tlacoquemecatl,03200,,Benito Juárez,POINT (481269.1127000004 2142241.6974)
143.0,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Parroquia,1000,Esq. Universidad,Sta. Cruz Atoyac,03310,,Benito Juárez,POINT (482731.12689999957 2141488.5856)
144.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Div. del Norte,,Esq. Cuauhtémoc,Narvarte,03220,,Benito Juárez,POINT (483279.1168999998 2142920.135)
145.0,TIENDAS DEPARTAMENTALES,PUERTO DE LIVERPOOL,Av. Insurgentes Sur,1310,Entre Felix Cuevas y Oso,Del Valle,03100,,Benito Juárez,POINT (481205.9721999997 2142011.9365999997)
146.0,CENTRO COMERCIAL,CENTRO  COMERCIAL TRICO,Rodriguez Saro,303-C,Esq. Moras,Acacias,03240,,Benito Juárez,POINT (481545.38499255286 2141287.812096572)
147.0,TIENDAS DE AUTO SERVICIO,ISSSTETIENDAS,Prol. Tajin,1000,,Emperadores,03320,,Benito Juárez,POINT (483442.4749999996 2141328.4736)
148.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Ermita,1897,Esq. Av. Plutarco Elías Calles,Benjidal,09450,,Benito Juárez,POINT (485329.6354 2140668.5976)
149.0,TIENDAS DE AUTO SERVICIO,Mega Soriana,Municipio Libre,134,Enfrente del Parque de los Venados,Emperadores,03320,,Benito Juárez,POINT (483473.73170000035 2141748.0402000006)
150.0,TIENDAS DE AUTO SERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Pilares,541,Entre Heriberto Frías y José Enrique Pestalozzi,Del Valle,03310,,Benito Juárez,POINT (482862.8491000002 2142523.3965000007)
151.0,TIENDAS DE AUTO SERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Av. Universidad,936-A,Esq. Parroquia,Sta. Cruz Atoyac,03310,,Benito Juárez,POINT (482625.51489999983 2141635.8543)
152.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Universidad,1000,Esq. Parroquia,Sta. Cruz Atoyac,03310,,Benito Juárez,POINT (482566.9883000003 2141492.615)
153.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Coyoacán,1209,Esq. Churubusco,Xoco,03330,,Benito Juárez,POINT (482120.6129999999 2140693.029100001)
154.0,TIENDAS DEPARTAMENTALES,SEARS,Av. Universidad,1000,Entre José María Rico y Parroquia,Sta. Cruz Atoyac,03310,,Benito Juárez,POINT (482578.74430000037 2141437.8551000003)
155.0,TIENDAS DE AUTO SERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Calz. de Tlalpan,1037,Entre Av. Lago Poniente y Privada Lago,Lago,03640,WALMART,Benito Juárez,POINT (485184.6634999998 2142922.5833)
156.0,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Holbein,230,Entre Indiana y Eje 6,Cd. de lo Deportes,03710,,Benito Juárez,POINT (481438.15020000003 2143236.7367000002)
157.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Insurgentes Sur,882,,Del Valle,03100,,Benito Juárez,POINT (481700.75 2143629.9524000008)
158.0,TIENDAS DEPARTAMENTALES,VIANA,Av. Sn. Antonio,70,Esq. Viaducto Río Becerra,Nápoles,03810,,Benito Juárez,POINT (480913.54339999985 2143492.6319999993)
159.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Damas,S/N,Esq. Mercaderes,Sn. José Insurgentes,03900,,Benito Juárez,POINT (480679.81799999997 2141192.2183999997)
160.0,CENTRO COMERCIAL,CENTRO COMERCIAL TRICO SN. JERÓNIMO,Av. Revolucion,1145,Entre Alconedo y Tinoco,Mixcoac,03910,,Benito Juárez,POINT (480124.95270000026 2141244.6019)
161.0,TIENDAS DE AUTO SERVICIO,"GIGANTE, S.A. DE C.V.",Miguel Angel,170,Entre Sn. Antonio y Revolución,Mixcoac,03910,,Benito Juárez,POINT (480185.3663999997 2143350.7289000005)
162.0,TIENDAS DE AUTO SERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Av. Revolución,780,Entre Holbein y Rubens,Sn. Juan,03730,,Benito Juárez,POINT (480401.68560000043 2142907.4152000006)
163.0,TIENDAS DEPARTAMENTALES,OPTIMA,Rembrandt,7,Esq. Av. Revolución,Sta. María Nonoalco,03700,,Benito Juárez,POINT (480306.26389999967 2143033.7733999994)
164.0,TIENDAS DEPARTAMENTALES,SALINAS Y ROCHA,Luis David,17,Esq. Revolución,Mixcoac,03910,,Benito Juárez,POINT (480185.7062999997 2142256.4564999994)
165.0,CENTRO COMERCIAL,,Av. Insurgentes,1605,Esq. Barranca del Muerto,Sn. José Insurgentes,03900,,Benito Juárez,POINT (480817.77699999977 2141058.071799999)
166.0,CENTRO COMERCIAL,,Av. Universidad,2000,Esq. Río Churubusco,Pueblo de Xoco,03330,,Benito Juárez,POINT (482115.5225999998 2140749.6883000005)
167.0,TIENDAS DEPARTAMENTALES,"EL PALACIO DE HIERRO, S.A. DE C.V.",Av. Coyoacán,2000,Plaza Coyoacán,Pueblo de Xoco,03330,,Benito Juárez,POINT (482140.61010000017 2140629.7161)
168.0,CENTRO COMERCIAL,"CENTRO COMERCIAL ARMAND ,S.A DE C.V.",Insurgentes Sur,1391-L12 BIS,Algeciras y Actipan,Del Valle,03100,,Benito Juárez,POINT (481078.4291000003 2141916.8564)
169.0,CENTRO COMERCIAL,PARQUE DELTA,,,,,,,Benito Juárez,POINT (483796.14240000024 2145419.624)
170.0,TIENDAS DEPARTAMENTALES,LIVERPOOL,,,,,,,Benito Juárez,POINT (483734.54679999966 2145464.3965000007)
171.0,TIENDAS DE AUTO SERVICIO,SORIANA,,,,,,,Benito Juárez,POINT (483818.25299999956 2145371.592700001)
172.0,CENTRO Y PLAZA COMERCIAL,METRÓPOLIS PATRIOTISMO,Patriotismo,229,,San Pedro de los Pinos,03800,,Benito Juárez,POINT (481033.0275999997 2144669.6887999997)
173.0,TIENDAS DE AUTOSERVICIO_1,WALMART EXPRESS,Dakota,95,,Nápoles,03810,,Benito Juárez,POINT (481641.46999999974 2144582.5178999994)
174.0,TIENDAS DE AUTOSERVICIO_1,WALMART EXPRESS,Georgia,53,,Nápoles,03810,,Benito Juárez,POINT (481568.45189999975 2143979.0853000004)
175.0,TIENDA DE AUTOSERVICIO_1,SUPERAMA,Maximino Ávila Camacho,32,,Ciudad de los Deportes,03710,,Benito Juárez,POINT (481394.86170000024 2143321.171)
176.0,TIENDAS DE AUTOSERVICIO_1,WALMART,San Francisco,1621,,Del Valle Sur,03100,,Benito Juárez,POINT (481492.9288999997 2141975.7842999995)
177.0,CENTRO Y PLAZA COMERCIAL,CITY SHOPS DEL VALLE,Félix Cuevas,374,,Tlacoquemecatl del Valle,03200,,Benito Juárez,POINT (481849.12689999957 2142108.544500001)
178.0,CENTRO Y PLAZA COMERCIAL,GALERÍAS INSURGENTES,Parroquia,194,,Del Valle,03100,,Benito Juárez,POINT (481166.7896999996 2141916.6685000006)
179.0,CENTRO Y PLAZA COMERCIAL,GALERÍAS INSURGENTES,Parroquia,194,,Del Valle,03100,,Benito Juárez,POINT (481250.95469999965 2141891.6194)
180.0,MIXTO,MANACAR,Avenida de los Insurgentes Sur,1457,,Insurgentes Mixcoac,03920,,Benito Juárez,POINT (480991.0703999996 2141628.6039000005)
181.0,CENTRO Y PLAZA COMERCIAL,GARDEN DEL VALLE,Av. Universidad,767,,Del Valle Sur,03100,,Benito Juárez,POINT (482872.1317999996 2142217.7585000005)
182.0,CENTRO Y PLAZA COMERCIAL,PABELLÓN DEL VALLE,Av. Universidad,740,,Santa Cruz Atoyac,03310,,Benito Juárez,POINT (482926.4883000003 2142157.139799999)
183.0,TIENDAS DE AUTOSERVICIO_1,SAMS CLUB,Municipio Libre,450,,Santa Cruz Atoyac,03310,,Benito Juárez,POINT (482753.14859999996 2141743.0782999992)
184.0,CENTRO Y PLAZA COMERCIAL,PATIO UNIVERSIDAD,Av. Popocatépetl 546,,,Xoco,03330,,Benito Juárez,POINT (482453.6867000004 2141292.9461000003)
185.0,TIENDAS DE AUTOSERVICIO_1,BODEGA AURRERÁ EXPRESS,Gral. Emiliano Zapata 181,,,Portales Norte,03300,,Benito Juárez,POINT (483937.21910000034 2141351.498400001)
186.0,TIENDAS DE AUTOSERVICIO_1,WALMART EXPRESS,Av. Revolución,1151,,Mixcoac,03910,,Benito Juárez,POINT (480091.74540000036 2141219.2391999997)
187.0,TIENDAS DEPARTAMENTALES_1,COPPEL,Av. Revolución,911,,Mixcoac,03910,,Benito Juárez,POINT (480232.6464999998 2142227.4024)
188.0,MIXTO,MITIKAH,Cto Interior Avenida Río Churubusco,601,,Xoco,03330,,Benito Juárez,POINT (482264.0025000004 2140641.1688)
189.0,TIENDAS DEPARTAMENTALES_1,OFFICE MAX,Av. Coyoacán,1955,,Xoco,03330,,Benito Juárez,POINT (482014.8892999999 2140648.9340000004)
190.0,TIENDAS DE AUTOSERVICIO,WALMART EXPRESS,Heriberto Frías,1107,,Del Valle Centro,03100,,Benito Juárez,POINT (482913.9012000002 2143081.2007)
191.0,TIENDAS DEPARTAMENTALES_1,OFFICE MAX,Av. Cuauhtémoc,1025,,Narvarte Poniente,03020,,Benito Juárez,POINT (483333.2229000004 2143079.9482000005)
192.0,TIENDAS DE AUTOSERVICIO_1,CITY MARKET,Pilares,1061,,Del Valle,03104,,Benito Juárez,POINT (482188.73000000045 2142766.5841000006)
193.0,TIENDAS DE AUTOSERVICIO_1,SUMESA,Mier y Pesado,319,,Del Valle Centro,03100,,Benito Juárez,POINT (482596.4665999999 2144426.9630999994)
194.0,TIENDA DE AUTOSERVICIO_1,WALMART EXPRESS,Pedro Romero de Terreros,1461,,Narvarte Poniente,03020,,Benito Juárez,POINT (483799.6370000001 2144323.2598)
195.0,TIENDAS DE AUTOSERVICIO_1,TIENDA IMSS-SNTSS,Eje Central Lázaro Cárdenas,630,,Postal,03410,,Benito Juárez,POINT (484638.5310000004 2144125.3719999995)
196.0,TIENDAS DE AUTOSERVICIO_1,WALMART EXPRESS,Ajusco,126,,Portales Norte,03300,,Benito Juárez,POINT (484036.8519000001 2140468.2048000004)
197.0,CENTRO Y PLAZA COMERCIAL,WORLD TRADE CENTER,Montecito,38,,Nápoles,03810,,Benito Juárez,POINT (481705.0321000004 2144456.7715000007)
198.0,TIENDAS DEPARTAMENTALES_1,OFFICE MAX,Av. Revolución,780,,San Juan,03730,,Benito Juárez,POINT (480425.2740000002 2142973.1139)
199.0,TIENDAS DEPARTAMENTALES_1,LUMEN,Av. Patriotismo,900,,Mixcoac,03910,,Benito Juárez,POINT (480309.04619999975 2142126.8303999994)
200.0,TIENDAS DEPARTAMENTALES_1,HIPERLUMEN,Adolfo Prieto,1439,,Del Valle Centro,03100,,Benito Juárez,POINT (481849.3147999998 2142232.4123)
201.0,TIENDAS DEPARTAMENTALES_1,LUMEN,Av. Colonia del Valle,217,,Del Valle Centro,03100,,Benito Juárez,POINT (481828.94159999955 2143573.8746000007)
202.0,TIENDAS DEPARTAMENTALES_1,OFFICE DEPOT,Parroquia,841,,Del Valle,03100,,Benito Juárez,POINT (482477.8799999999 2141584.4758)
203.0,CENTRO COMERCIAL,CONDOMINOS DEL CENTRO COMERCIAL LILAS A C.,Paseo de las Lilas,92,Entre Laureles y Palmitos,Bosques de las Lomas,05120,,Miguel Hidalgo,POINT (473971.90330000035 2143760.1087999996)
204.0,CENTRO Y PLAZA COMERCIAL,PLAZA SOTELO,AV. INGENIERON MILITARES,144 BIS,,ARGENTINA PONIENTE,11230,,Miguel Hidalgo,POINT (477465.1473000003 2151381.7004000004)
205.0,TIENDAS DE AUTO SERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Calz. México-Tacuba,911,Gascasónica,Huichapan,11290,,Miguel Hidalgo,POINT (479724.12990000006 2151793.7498000003)
206.0,TIENDAS DEPARTAMENTALES,SALINAS Y ROCHA,Calz. México-Tacuba,685,Entre Golfo de California y Mar Tirreno,Tacuba,11410,EN LA BASE ORIGINAL ESTA COMO SALINAS Y ROCHA Y AHORA ES UN COPPEL,Miguel Hidalgo,POINT (480609.4826999996 2151514.0555000007)
207.0,TIENDAS DEPARTAMENTALES,PLAZA DE LA TECNOLOGIA,Blvr. Manuel Ávila Camacho,691,Esq. Calz. Ing. Militares Local A-22,Periodistas,12220,,Miguel Hidalgo,POINT (476963.3060999997 2150881.6138000004)
208.0,CENTRO Y PLAZA COMERCIAL,PLAZA LEGARIA,CALZ LEGARIA,252,,VENTURA PÉREZ DE ALBA,11430,,Miguel Hidalgo,POINT (479258.07210000046 2151016.3715000004)
209.0,TIENDAS DEPARTAMENTALES,VIANA,Calz. México-Tacuba,544,Esq. Calz. Gral. Mariano Escobedo,Popotla,11400,,Miguel Hidalgo,POINT (481089.1755999997 2151256.3742999993)
210.0,PLAZAS COMERCIALES,,Bosques de Duraznos,187,Entre B. de Ciruelos y B. de Abetos,Bosques de las Lomas,11700,,Miguel Hidalgo,POINT (474837.37799999956 2145897.0483999997)
211.0,CENTRO COMERCIAL,,Blvd. Avila Camacho,,Entre Av. Velásquez Martínez y Lic. Rafael Reyes Espínola,Periodista,11220,,Miguel Hidalgo,POINT (476998.33800000045 2150613.5648999996)
212.0,TIENDAS DE AUTO SERVICIO,"WALL MART DE MÉXICO,S.A DE C.V.",Blvr. Manuel Ávila Camacho,491,Entre Ingenieros Militares y Lic. Rafael Reyes Espindola,Periodista,11220,,Miguel Hidalgo,POINT (476942.40529999975 2150624.2589)
213.0,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Blvr. Manuel Ávila Camacho,487,,Periodista,11220,,Miguel Hidalgo,POINT (477002.68400000036 2150729.5249000005)
214.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Manuel Ávila Camacho,291,Entre Av. Velásquez Martínez y Lic. Rafael Reyes Espínola,Periodista,11220,,Miguel Hidalgo,POINT (476975.8881999999 2150788.5375999995)
215.0,CENTRO Y PLAZA COMERCIAL,PLAZA,INGENIEROS MILITARES,30 INT,,LOMAS DE SOTELO,11200,MERCADO PUBLICO,Miguel Hidalgo,POINT (477361.1925999997 2150721.7281)
216.0,TIENDAS DE AUTO SERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Calz. Gral. Mariano Escobedo,145,Entre Lago Bolsena y F.C. de Cuernavaca,Anáhuac,11320,,Miguel Hidalgo,POINT (480745.33770000003 2150184.5009000003)
